,Man_n,Q(m3/s),area(m2),r,stage(m),vel(m/s),wp(m)
2016-02-18 10:20:00,0.067,0.0,0.0,0.0,0.0,0.0,1.524
2016-02-05 13:05:00,0.067,0.001,0.010256519999999977,0.005606555269284221,0.01,0.059582116610589646,1.8293799859943964
2016-02-09 23:50:00,0.067,0.003,0.026898599999999884,0.012599746683336535,0.02,0.10222561479684907,2.1348524439442835
2016-02-09 13:55:00,0.067,0.007,0.04518659999999988,0.021156099935063333,0.03,0.14441387736697037,2.1358662578970566
2016-02-05 17:10:00,0.067,0.011,0.06405371999999988,0.026228157587068684,0.04,0.16665961652975436,2.4421738273976366
2016-02-05 13:10:00,0.067,0.017,0.08792717999999983,0.031936882815587236,0.05,0.19004080955484473,2.7531547304637307
2016-02-06 18:55:00,0.067,0.023,0.11470385999999981,0.03400519795977413,0.06,0.1981597262289722,3.373127253535968
2016-03-11 18:10:00,0.067,0.03,0.1456867799999998,0.03647845305185966,0.07,0.20765519341030617,3.9937762654815403
2016-02-15 10:40:00,0.067,0.043,0.18073877999999977,0.045122348320707106,0.08,0.23928362779767143,4.005526900226886
2016-03-11 13:30:00,0.067,0.058,0.21579077999999977,0.053702654336283205,0.09,0.2687297139806626,4.018251661244325
2016-02-22 13:30:00,0.067,0.072,0.25229057999999976,0.05818042831615612,0.1,0.2834674072215729,4.336347931799966
2016-02-21 23:15:00,0.067,0.092,0.29295089999999974,0.06737262442877848,0.11,0.31258934135645877,4.348218619710837
2016-02-16 11:20:00,0.067,0.114,0.3340988999999997,0.0766267282355543,0.12,0.34059534685470894,4.360083063614088
2016-02-16 00:05:00,0.067,0.133,0.3780967799999997,0.08087357709610375,0.13,0.3530663195669036,4.675158359209207
2016-02-16 05:40:00,0.067,0.158,0.42381296999999973,0.08760404033680913,0.14,0.37239280347969017,4.837824469859795
2016-02-16 03:20:00,0.067,0.184,0.4708969499999996,0.09416698098081154,0.15,0.39076676539223365,5.000658883775349
2016-02-16 02:25:00,0.067,0.215,0.5196843809999997,0.10274201120102398,0.16,0.4141432276647185,5.05814880325041
2016-02-16 02:05:00,0.067,0.25,0.5689095809999998,0.11203090004685433,0.17,0.4387432069360554,5.078148803250412
2016-02-16 01:40:00,0.067,0.286,0.6181347809999995,0.12124690840838094,0.18,0.46248640508076816,5.098148803250411
2016-02-16 00:35:00,0.067,0.324,0.6673599809999997,0.13039089066268955,0.19,0.48545616776818407,5.118148803250411
2016-02-16 00:25:00,0.067,0.364,0.7165851809999996,0.13946368788437682,0.2,0.5077219648849355,5.13814880325041
2016-02-16 00:50:00,0.067,0.405,0.7658103809999997,0.14846612810344353,0.21,0.529342515673105,5.158148803250412
2016-02-16 00:10:00,0.067,0.449,0.8150355809999997,0.15739902655721058,0.22,0.5503680530842062,5.178148803250411
2016-02-16 00:20:00,0.067,0.493,0.8642607809999996,0.1662631859364195,0.23,0.5708420022312162,5.198148803250411
2016-02-22 18:10:00,0.067,0.54,0.9134859809999996,0.17505939662567396,0.24,0.5908022493618474,5.21814880325041
2016-02-16 00:15:00,0.067,0.588,0.9627111809999995,0.1837884369383725,0.25,0.6102821179959899,5.238148803250411
