"TOA5","FOREST","CR200X","No_SN","CR200X.Std.02","15_min_test.CR2","20201","Table1"
"TIMESTAMP","RECORD","BattV","Turb_BS","Turb_SS","Temp_C","WD_OBS"
"TS","RN","Volts","FBU","FNU","Deg C","unitless"
"","","Smp","Smp","Smp","Smp","Smp"
"2016-02-03 09:30:00",187,12.96513,2.957882,0.7990558,26.45113,0
"2016-02-03 09:45:00",188,12.99283,1.060364,0.7459946,26.48416,0
"2016-02-03 10:00:00",189,13.00878,0.2063739,0.615752,26.5136,0
"2016-02-03 10:15:00",190,13.0432,1.138789,0.1580672,26.55397,0
"2016-02-03 10:30:00",191,13.04488,2.189782,0.538579,26.59487,0
"2016-02-03 10:45:00",192,13.03229,2.003694,0.5784437,26.63437,0
"2016-02-03 11:00:00",193,13.06838,0.1896976,0.4175482,26.67757,0
"2016-02-03 11:15:00",194,13.08182,0.7621488,0.4482593,26.73137,0
"2016-02-03 11:30:00",195,13.0751,0.764303,0.3667341,26.79003,0
"2016-02-03 11:45:00",196,13.05915,0.8811962,5.423001,26.81439,0
"2016-02-03 12:00:00",197,13.01634,1.183262,0.887996,26.81798,0
"2016-02-03 12:15:00",198,13.06671,0.445288,0.6095337,26.81279,0
"2016-02-03 12:30:00",199,13.00459,0.8456404,0.4625188,26.85905,0
"2016-02-03 12:45:00",200,13.00627,1.136632,0.4581312,26.88882,0
"2016-02-03 13:00:00",201,13.0155,1.560787,0.6161177,26.89057,0
"2016-02-03 13:15:00",202,13.02306,1.495777,0.4508185,26.93591,0
"2016-02-03 13:30:00",203,12.99199,0.550525,0.5199282,26.95153,0
"2016-02-03 13:45:00",204,12.99199,1.127199,1.091576,26.9305,0
"2016-02-03 14:00:00",205,12.99116,1.664661,0.484092,26.94006,0
"2016-02-03 14:15:00",206,12.97772,1.197818,1.2949,26.94605,0
"2016-02-03 14:30:00",207,12.98612,1.082462,0.4376563,26.93575,0
"2016-02-03 14:45:00",208,12.96681,0.8149351,0.460325,26.92428,0
"2016-02-03 15:00:00",209,12.9559,1.295139,0.5122488,26.9,0
"2016-02-03 15:15:00",210,12.9475,0.7457215,0.5031067,26.88415,0
"2016-02-03 15:30:00",211,12.96177,1.428349,0.5828326,26.8743,0
"2016-02-03 15:45:00",212,12.96765,2.155746,0.8114989,26.86916,0
"2016-02-03 16:00:00",213,12.94583,1.340437,0.4760477,26.86696,0
"2016-02-03 16:15:00",214,12.94079,0.922951,0.5736889,26.85289,0
"2016-02-03 16:30:00",215,12.93072,0.8383678,0.7203815,26.83778,0
"2016-02-03 16:45:00",216,12.93323,1.597208,0.7222109,26.82062,0
"2016-02-03 17:00:00",217,12.92652,0.7664575,0.7628269,26.81659,0
"2016-02-03 17:15:00",218,12.91728,1.124504,0.4467968,26.80016,0
"2016-02-03 17:30:00",219,12.91225,1.281659,2.487744,26.78091,0
"2016-02-03 17:45:00",220,12.90973,0.9407314,0.3334713,26.76558,0
"2016-02-03 18:00:00",221,12.90469,0.9097507,0.6516008,26.75374,0
"2016-02-03 18:15:00",222,12.9005,1.053896,1.231143,26.73958,0
"2016-02-03 18:30:00",223,12.8963,1.056052,0.5671057,26.72739,0
"2016-02-03 18:45:00",224,12.89882,1.008896,0.4303441,26.71765,0
"2016-02-03 19:00:00",225,12.89126,0.9822223,0.3583269,26.70858,0
"2016-02-03 19:15:00",226,12.89546,1.050932,0.8272362,26.69908,0
"2016-02-03 19:30:00",227,12.8921,0.9773725,1.066305,26.68584,0
"2016-02-03 19:45:00",228,12.8879,0.9480055,0.3426092,26.67348,0
"2016-02-03 20:00:00",229,12.88706,1.187036,0.516637,26.65164,0
"2016-02-03 20:15:00",230,12.88539,1.111298,0.4292474,26.63681,0
"2016-02-03 20:30:00",231,12.87951,1.010783,0.7441649,26.62075,0
"2016-02-03 20:45:00",232,12.88287,1.139867,0.6303837,26.60673,0
"2016-02-03 21:00:00",233,12.88035,1.02668,0.5133457,26.59601,0
"2016-02-03 21:15:00",234,12.87951,1.070335,0.3451679,26.59204,0
"2016-02-03 21:30:00",235,12.86524,1.165742,0.4263225,26.58709,0
"2016-02-03 21:45:00",236,12.86944,1.084887,0.3758729,26.5852,0
"2016-02-03 22:00:00",237,12.87028,1.188114,0.5952686,26.58352,0
"2016-02-03 22:15:00",238,12.86608,0.9773725,0.272436,26.58072,0
"2016-02-03 22:30:00",239,12.84845,1.106177,0.2676851,26.58067,0
"2016-02-03 22:45:00",240,12.86776,1.075724,0.2567219,26.57863,0
"2016-02-03 23:00:00",241,12.85517,1.095936,0.3159271,26.57504,0
"2016-02-03 23:15:00",242,12.85265,0.9903052,0.3473608,26.57529,0
"2016-02-03 23:30:00",243,12.85601,1.009705,0.2720705,26.57021,0
"2016-02-03 23:45:00",244,12.85601,1.01698,0.4051182,26.56854,0
"2016-02-04 00:00:00",245,12.85601,1.017519,0.3685619,26.56705,0
"2016-02-04 00:15:00",246,12.85433,1.056322,0.4281504,26.56189,0
"2016-02-04 00:30:00",247,12.84677,0.9278001,0.5477219,26.55047,0
"2016-02-04 00:45:00",248,12.85013,1.219114,0.8338242,26.54745,0
"2016-02-04 01:00:00",249,12.84006,1.081383,0.5641797,26.54506,0
"2016-02-04 01:15:00",250,12.85265,0.8663809,0.2541638,26.54438,0
"2016-02-04 01:30:00",251,12.84593,1.151187,0.5905136,26.54143,0
"2016-02-04 01:45:00",252,12.84761,0.8477952,0.3451679,26.53719,0
"2016-02-04 02:00:00",253,12.84677,0.9830305,0.6508691,26.53257,0
"2016-02-04 02:15:00",254,12.84593,0.9512385,0.2866888,26.53205,0
"2016-02-04 02:30:00",255,12.84258,1.00216,0.348092,26.52665,0
"2016-02-04 02:45:00",256,12.84677,1.039076,0.3517473,26.52173,0
"2016-02-04 03:00:00",257,12.84174,0.9372293,0.192776,26.51526,0
"2016-02-04 03:15:00",258,12.84258,1.395986,0.3031351,26.50729,0
"2016-02-04 03:30:00",259,12.83334,1.071143,0.7298948,26.50132,0
"2016-02-04 03:45:00",260,12.83418,1.020752,0.4325378,26.49492,0
"2016-02-04 04:00:00",261,12.83754,1.677343,0.5107861,26.48571,0
"2016-02-04 04:15:00",262,12.83334,0.9978497,0.326892,26.47546,0
"2016-02-04 04:30:00",263,12.82914,1.01213,0.3846463,26.47038,0
"2016-02-04 04:45:00",264,12.83838,0.9746782,0.3290851,26.46407,0
"2016-02-04 05:00:00",265,12.82914,0.8836205,0.2424701,26.45508,0
"2016-02-04 05:15:00",266,12.83502,1.019674,0.8206485,26.4521,0
"2016-02-04 05:30:00",267,12.82411,0.9498915,0.3093483,26.44639,0
"2016-02-04 05:45:00",268,12.83502,0.8785025,0.5455276,26.43473,0
"2016-02-04 06:00:00",269,12.83166,1.223157,0.6567223,26.42731,0
"2016-02-04 06:15:00",270,12.82327,0.9471973,0.3246992,26.41817,0
"2016-02-04 06:30:00",271,12.82411,1.118036,0.5828326,26.41149,0
"2016-02-04 06:45:00",272,12.83418,0.9321106,0.3985378,26.40638,0
"2016-02-04 07:00:00",273,12.8325,1.183801,0.4946963,26.40968,0
"2016-02-04 07:15:00",274,12.83922,0.8987058,0.3707552,26.4085,0
"2016-02-04 07:30:00",275,12.83418,1.49281,1.297831,26.40303,0
"2016-02-04 07:45:00",276,12.8325,1.192966,0.7159908,26.4029,0
"2016-02-04 08:00:00",277,12.84509,0.8240927,0.4380219,26.4013,0
"2016-02-04 08:15:00",278,12.85685,1.114532,0.423032,26.40803,0
"2016-02-04 08:30:00",279,12.91225,0.4608972,0.4307097,26.41967,0
"2016-02-04 08:45:00",280,12.89126,0.9593211,0.9209419,26.43581,0
"2016-02-04 09:00:00",281,12.88958,1.814712,2.728972,26.43908,0
"2016-02-04 09:15:00",282,12.92316,1.065484,0.610631,26.44953,0
"2016-02-04 09:30:00",283,12.92232,0.7241785,0.4003657,26.4659,0
"2016-02-04 09:45:00",284,12.89126,0.9005916,0.3535749,26.46695,0
"2016-02-04 10:00:00",285,12.92232,1.573737,0.49945,26.48418,0
"2016-02-04 10:15:00",286,12.93659,2.077688,0.6848921,26.50011,0
"2016-02-04 10:30:00",287,12.92988,0.5919805,0.2848615,26.50777,0
"2016-02-04 10:45:00",288,12.93911,1.234749,0.3524784,26.53035,0
"2016-02-04 11:00:00",289,12.90134,1.262247,0.9183794,26.53381,0
"2016-02-04 11:15:00",290,12.89126,1.107255,0.2972874,26.52992,0
"2016-02-04 11:30:00",291,12.89294,1.336122,1.016502,26.53276,0
"2016-02-04 11:45:00",292,12.90553,0.8828124,0.7094051,26.53655,0
"2016-02-04 12:00:00",293,12.9282,2.345949,0.4497217,26.54643,0
"2016-02-04 12:15:00",294,12.89462,0.5728673,0.6109967,26.56256,0
"2016-02-04 12:30:00",295,12.89546,1.144179,0.3681964,26.57651,0
"2016-02-04 12:45:00",296,12.8921,1.620141,0.7445309,26.55238,0
"2016-02-04 13:00:00",297,12.96177,0.8615324,0.461422,26.58743,0
"2016-02-04 13:15:00",298,12.95338,1.124504,1.176555,26.77053,0
"2016-02-04 13:30:00",299,12.99871,2.620313,0.4446031,26.85183,0
"2016-02-04 13:45:00",300,12.98612,1.117227,0.4193761,26.86667,0
"2016-02-04 14:00:00",301,12.97353,0.7325264,3.37693,26.8322,0
"2016-02-04 14:15:00",302,12.95338,1.480133,0.6464793,26.79035,0
"2016-02-04 14:30:00",303,12.93239,1.444261,0.7646567,26.75846,0
"2016-02-04 14:45:00",304,12.91896,1.128816,0.5074948,26.74157,0
"2016-02-04 15:00:00",305,12.91225,1.147952,0.8740862,26.73297,0
"2016-02-04 15:15:00",306,12.91477,1.497935,1.133697,26.73457,0
"2016-02-04 15:30:00",307,12.91141,1.319405,0.5023754,26.73651,0
"2016-02-04 15:45:00",308,12.91141,1.561327,0.511883,26.73593,0
"2016-02-04 16:00:00",309,12.8921,2.326762,8.415191,26.73318,0
"2016-02-04 16:15:00",310,12.90385,1.071682,0.5575964,26.72045,0
"2016-02-04 16:30:00",311,12.89126,1.02695,0.456303,26.70699,0
"2016-02-04 16:45:00",312,12.8879,0.9469279,1.645021,26.69137,0
"2016-02-04 17:00:00",313,12.88035,1.227471,0.7489219,26.67993,0
"2016-02-04 17:15:00",314,12.87867,1.153074,0.4661752,26.66604,0
"2016-02-04 17:30:00",315,12.8686,1.16655,1.724623,26.65371,0
"2016-02-04 17:45:00",316,12.87447,1.11561,0.49945,26.64246,0
"2016-02-04 18:00:00",317,12.86608,1.19054,0.4559374,26.63068,0
"2016-02-04 18:15:00",318,12.86524,1.237175,0.5067635,26.61821,0
"2016-02-04 18:30:00",319,12.85852,1.195392,0.5773463,26.6077,0
"2016-02-04 18:45:00",320,12.85936,1.122348,0.441678,26.59887,0
"2016-02-04 19:00:00",321,12.84845,1.112915,0.7192838,26.5873,0
"2016-02-04 19:15:00",322,12.85601,1.139867,0.9374162,26.58226,0
"2016-02-04 19:30:00",323,12.84845,1.170054,0.4954276,26.56988,0
"2016-02-04 19:45:00",324,12.85265,1.122617,0.6190441,26.56065,0
"2016-02-04 20:00:00",325,12.84593,1.095128,0.3722174,26.55296,0
"2016-02-04 20:15:00",326,12.83922,1.142292,0.7935664,26.54593,0
"2016-02-04 20:30:00",327,12.84006,1.173828,0.5422361,26.54441,0
"2016-02-04 20:45:00",328,12.84425,1.113184,0.7028193,26.5365,0
"2016-02-04 21:00:00",329,12.83586,1.015633,0.3908608,26.53008,0
"2016-02-04 21:15:00",330,12.84174,1.081114,0.3246992,26.52582,0
"2016-02-04 21:30:00",331,12.83586,1.085426,0.4705629,26.52189,0
"2016-02-04 21:45:00",332,12.82579,1.104021,0.6413579,26.51638,0
"2016-02-04 22:00:00",333,12.83082,1.122078,0.4142579,26.51478,0
"2016-02-04 22:15:00",334,12.83334,1.046082,0.2600108,26.50595,0
"2016-02-04 22:30:00",335,12.83082,0.9544715,0.3601545,26.49804,0
"2016-02-04 22:45:00",336,12.8367,1.069796,0.4914052,26.49037,0
"2016-02-04 23:00:00",337,12.83082,0.9428867,0.4153546,26.48172,0
"2016-02-04 23:15:00",338,12.83418,0.9278001,0.3959788,26.47664,0
"2016-02-04 23:30:00",339,12.81655,0.9989274,0.2505095,26.47284,0
"2016-02-04 23:45:00",340,12.82914,1.013207,0.2658579,26.46889,0
"2016-02-05 00:00:00",341,12.82159,0.9253756,0.2530675,26.46614,0
"2016-02-05 00:15:00",342,12.83166,0.9323799,0.5042037,26.46147,0
"2016-02-05 00:30:00",343,12.82914,1.081383,0.5773463,26.45986,0
"2016-02-05 00:45:00",344,12.82663,0.9587823,0.1346862,26.45673,0
"2016-02-05 01:00:00",345,12.82243,0.9049016,0.593074,26.45189,0
"2016-02-05 01:15:00",346,12.82243,1.066562,0.8857995,26.44704,0
"2016-02-05 01:30:00",347,12.82747,0.850758,0.2391814,26.44117,0
"2016-02-05 01:45:00",348,12.82998,0.9620153,0.4197418,26.42965,0
"2016-02-05 02:00:00",349,12.81907,0.9779113,0.3305471,26.4236,0
"2016-02-05 02:15:00",350,12.82411,0.8267859,0.2592799,26.42069,0
"2016-02-05 02:30:00",351,12.81991,0.8628792,0.3192166,26.41454,0
"2016-02-05 02:45:00",352,12.82914,1.107255,0.2395468,26.40812,0
"2016-02-05 03:00:00",353,12.82663,1.000813,0.305328,26.40044,0
"2016-02-05 03:15:00",354,12.82327,0.8607243,0.8166225,26.3926,0
"2016-02-05 03:30:00",355,12.82495,0.8359438,0.2720705,26.38221,0
"2016-02-05 03:45:00",356,12.82411,0.9234898,0.4212041,26.37584,0
"2016-02-05 04:00:00",357,12.81403,0.8453711,0.209949,26.36678,0
"2016-02-05 04:15:00",358,12.82075,1.019674,0.9798862,26.35869,0
"2016-02-05 04:30:00",359,12.82075,0.8561452,0.1924107,26.34878,0
"2016-02-05 04:45:00",360,12.82243,0.730372,0.1905838,26.34152,0
"2016-02-05 05:00:00",361,12.82327,0.7941969,0.2442973,26.33358,0
"2016-02-05 05:15:00",362,12.82579,0.8755395,0.3817217,26.32999,0
"2016-02-05 05:30:00",363,12.81823,0.9458503,0.4336347,26.31928,0
"2016-02-05 05:45:00",364,12.81739,0.791773,0.2797451,26.31756,0
"2016-02-05 06:00:00",365,12.80984,0.8636872,0.3400505,26.31253,0
"2016-02-05 06:15:00",366,12.82159,0.971445,0.3345678,26.30406,0
"2016-02-05 06:30:00",367,12.81907,1.150109,0.3100793,26.29843,0
"2016-02-05 06:45:00",368,12.8132,0.9784502,0.2216417,26.29961,0
"2016-02-05 07:00:00",369,12.81655,0.8451016,0.4120643,26.29972,0
"2016-02-05 07:15:00",370,12.84845,2.140079,0.4691004,26.30134,0
"2016-02-05 07:30:00",371,12.8728,1.084078,0.8287001,26.31688,0
"2016-02-05 07:45:00",372,12.85852,1.061981,0.4413125,26.32714,0
"2016-02-05 08:00:00",373,12.84593,1.299723,0.3488231,26.32271,0
"2016-02-05 08:15:00",374,12.87363,0.383126,0.2527021,26.33432,0
"2016-02-05 08:30:00",375,12.85265,0.8755395,0.261838,26.34597,0
"2016-02-05 08:45:00",376,12.92064,0.7912344,0.2084875,26.37028,0
"2016-02-05 09:00:00",377,12.8879,1.166011,0.4446031,26.39761,0
"2016-02-05 09:15:00",378,12.88958,1.543522,0.4910395,26.38383,0
"2016-02-05 09:30:00",379,12.92736,0.5898269,0.3064245,26.42155,0
"2016-02-05 09:45:00",380,12.90889,1.163585,0.4138923,26.43612,0
"2016-02-05 10:00:00",381,12.97688,3.264287,0.5137115,26.45275,0
"2016-02-05 10:15:00",382,12.91561,1.510343,0.2530675,26.47811,0
"2016-02-05 10:30:00",383,12.92568,0.9372293,0.4032904,26.48906,0
"2016-02-05 10:45:00",384,12.93407,1.567532,0.3528439,26.50148,0
"2016-02-05 11:00:00",385,12.95926,1.094858,0.6307496,26.50685,0
"2016-02-05 11:15:00",386,13.00878,3.440589,0.2497786,26.56476,0
"2016-02-05 11:30:00",387,13.02306,1.960761,0.4914052,26.59609,0
"2016-02-05 11:45:00",388,13.01802,0.2278925,0.6285547,26.63167,0
"2016-02-05 12:00:00",389,13.0474,4.519889,0.2077567,26.65752,0
"2016-02-05 12:15:00",390,13.03313,1.480402,0,26.72461,0
"2016-02-05 12:30:00",391,13.04908,2.235978,0,26.76375,0
"2016-02-05 12:45:00",392,13.04992,0.4880796,0.5396761,26.8169,0
"2016-02-05 13:00:00",393,13.01886,0.5690988,0.3363953,26.83669,0
"2016-02-05 13:15:00",394,13.00794,0.4700474,0.3557681,26.81501,0
"2016-02-05 13:30:00",395,12.97856,0.7438365,0.3473608,26.8042,0
"2016-02-05 13:45:00",396,12.99116,0.2157881,0.7222109,26.8022,0
"2016-02-05 14:00:00",397,12.98444,1.049854,0.2925363,26.81966,0
"2016-02-05 14:15:00",398,12.99283,0.6948277,0.8459023,26.85073,0
"2016-02-05 14:30:00",399,12.96765,0.97387,0.4899427,26.85096,0
"2016-02-05 14:45:00",400,12.96429,1.077341,0.5934397,26.838,0
"2016-02-05 15:00:00",401,12.95758,0.6162095,0.6303837,26.83775,0
"2016-02-05 15:15:00",402,12.95842,1.903254,0.9011741,26.84483,0
"2016-02-05 15:30:00",403,12.94834,1.497395,1.090843,26.83995,0
"2016-02-05 15:45:00",404,12.94415,1.404886,1.035543,26.83283,0
"2016-02-05 16:00:00",405,12.92904,2.018006,1.407783,26.81544,0
"2016-02-05 16:15:00",406,12.924,2.019356,2.398793,26.81434,0
"2016-02-05 16:30:00",407,12.91309,1.887866,1.334112,26.80095,0
"2016-02-05 16:45:00",408,12.91561,1.761001,1.674365,26.78526,0
"2016-02-05 17:00:00",409,12.89798,1.722139,1.855617,26.77329,0
"2016-02-05 17:15:00",410,12.90301,1.120461,0.8931207,26.76163,0
"2016-02-05 17:30:00",411,12.9005,1.425922,1.636952,26.75228,0
"2016-02-05 17:45:00",412,12.8921,1.32291,0.7046486,26.74672,0
"2016-02-05 18:00:00",413,12.8921,1.252003,0.5799067,26.73766,0
"2016-02-05 18:15:00",414,12.89126,1.319136,0.9710989,26.72559,0
"2016-02-05 18:30:00",415,12.88455,1.378727,0.424129,26.71775,0
"2016-02-05 18:45:00",416,12.88623,1.35365,0.5711286,26.70652,0
"2016-02-05 19:00:00",417,12.88203,1.240141,1.141023,26.69697,0
"2016-02-05 19:15:00",418,12.88287,1.131781,0.5696657,26.68758,0
"2016-02-05 19:30:00",419,12.87531,1.121809,0.622702,26.67762,0
"2016-02-05 19:45:00",420,12.88035,1.060633,0.6424553,26.6706,0
